source_id,province,year,subject_type,batch,school_name,major_name,score,rank,quota,source_file,group_code,subject_requirement,admitted_count,average_score,average_rank,equivalent_score,school_yxid,raw_rank
zyfz:2025:93506:08b4ea5dfeea8a82,四川,2025,历史类,本科提前批A段,中央司法警官学院,专业组101（选科：不限）,600,4584,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,1,600,4584,807,93506,4584
zyfz:2025:93507:f68a4fbe04f6609d,四川,2025,历史类,本科提前批A段,中央司法警官学院,专业组102（选科：不限）,567,13238,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,不限,2,569,12520,759,93507,13238
zyfz:2024:93507:2da5952d2323dfcf,四川,2024,历史类,本科提前批A段,中央司法警官学院,专业组102（选科：不限）,536,16710,3,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,不限,3,540,14845,752,93507,16710
zyfz:2023:93507:d538dc755b646ffc,四川,2023,历史类,本科提前批A段,中央司法警官学院,专业组102（选科：不限）,503,36796,3,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,不限,3,514,28779,707,93507,36796
zyfz:2025:93508:ae68716a0aa047c6,四川,2025,历史类,本科提前批A段,中央司法警官学院,专业组103（选科：思想政治）,573,11180,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,103,思想政治,2,575,10596,768,93508,11180
zyfz:2024:93508:44b987b2d61ea7e7,四川,2024,历史类,本科提前批A段,中央司法警官学院,专业组103（选科：思想政治）,548,11542,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,103,思想政治,1,548,11542,770,93508,11542
zyfz:2023:93508:00f1a4f1ad30a051,四川,2023,历史类,本科提前批A段,中央司法警官学院,专业组103（选科：思想政治）,522,23718,4,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,103,思想政治,4,540,14495,733,93508,23718
zyfz:2025:93509:0a9ac8b483a23f0e,四川,2025,历史类,本科提前批A段,中央司法警官学院,专业组105（选科：不限）,615,2397,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,105,不限,1,615,2397,832,93509,2397
zyfz:2025:93510:f998faf8fb899083,四川,2025,历史类,本科提前批A段,中央司法警官学院,专业组106（选科：思想政治）,607,3498,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,106,思想政治,1,607,3498,818,93510,3498
zyfz:2024:93510:94e2759280f37a50,四川,2024,历史类,本科提前批A段,中央司法警官学院,专业组106（选科：思想政治）,581,3445,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,106,思想政治,1,581,3445,821,93510,3445
zyfz:2023:93510:b193aceee56b4b76,四川,2023,历史类,本科提前批A段,中央司法警官学院,专业组106（选科：思想政治）,576,4018,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,106,思想政治,1,576,4018,816,93510,4018
zyfz:2025:93514:9fe27ba1c2cda216,四川,2025,历史类,本科提前批A段,四川警察学院,专业组101（选科：思想政治）,554,18375,245,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,246,580,9150,742,93514,18375
zyfz:2024:93514:bbe515fc2bf0bf9d,四川,2024,历史类,本科提前批A段,四川警察学院,专业组101（选科：思想政治）,548,11542,134,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,138,564,6641,770,93514,11542
zyfz:2023:93514:2487196c794f1015,四川,2023,历史类,本科提前批A段,四川警察学院,专业组101（选科：思想政治）,545,12446,117,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,117,560,7545,767,93514,12446
zyfz:2025:93515:861481ad2cccdb50,四川,2025,历史类,本科提前批A段,四川警察学院,专业组102（选科：思想政治）,615,2397,36,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,思想政治,37,622,1629,832,93515,2397
zyfz:2024:93515:687ae50034c8b466,四川,2024,历史类,本科提前批A段,四川警察学院,专业组102（选科：思想政治）,588,2509,18,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,思想政治,20,598,1476,833,93515,2509
zyfz:2023:93515:a6133c3f6e93e8b4,四川,2023,历史类,本科提前批A段,四川警察学院,专业组102（选科：思想政治）,581,3185,20,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,思想政治,20,594,1616,824,93515,3185
zyfz:2025:93512:8d68d462ceb13ebd,四川,2025,历史类,本科提前批A段,西南政法大学,专业组108（选科：思想政治）,576,10296,4,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,108,思想政治,4,585,7828,772,93512,10296
zyfz:2024:93512:682550246f0561db,四川,2024,历史类,本科提前批A段,西南政法大学,专业组108（选科：思想政治）,564,6641,4,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,108,思想政治,4,570,5299,795,93512,6641
zyfz:2023:93512:a1fc08fb7811f7ff,四川,2023,历史类,本科提前批A段,西南政法大学,专业组108（选科：思想政治）,559,7796,6,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,108,思想政治,6,565,6249,788,93512,7796
zyfz:2025:93513:cc4ade9eb3ea4125,四川,2025,历史类,本科提前批A段,西南政法大学,专业组109（选科：思想政治）,613,2658,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,109,思想政治,1,613,2658,828,93513,2658
zyfz:2024:93513:f24c2431dce781ae,四川,2024,历史类,本科提前批A段,西南政法大学,专业组109（选科：思想政治）,583,3150,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,109,思想政治,1,583,3150,825,93513,3150
zyfz:2023:93513:812f26a565f26724,四川,2023,历史类,本科提前批A段,西南政法大学,专业组109（选科：思想政治）,578,3670,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,109,思想政治,1,578,3670,819,93513,3670
zyfz:2025:93500:17e8e09d4f7961cb,四川,2025,历史类,本科提前批A段,郑州警察学院,专业组101（选科：思想政治）,567,13238,10,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,10,572,11496,759,93500,13238
zyfz:2024:93500:05b0da2a6ebf98c0,四川,2024,历史类,本科提前批A段,郑州警察学院,专业组101（选科：思想政治）,538,15761,9,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,9,547,11941,755,93500,15761
zyfz:2023:93500:78ff9e74591e9d2e,四川,2023,历史类,本科提前批A段,郑州警察学院,专业组101（选科：思想政治）,539,14959,6,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,6,543,13269,758,93500,14959
zyfz:2025:93501:d105cc87b7bea933,四川,2025,历史类,本科提前批A段,郑州警察学院,专业组102（选科：思想政治）,609,3190,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,思想政治,1,609,3190,821,93501,3190
zyfz:2024:93501:f47698ec91912709,四川,2024,历史类,本科提前批A段,郑州警察学院,专业组102（选科：思想政治）,588,2509,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,思想政治,1,588,2509,833,93501,2509
zyfz:2023:93501:bf2f3218269acc3a,四川,2023,历史类,本科提前批A段,郑州警察学院,专业组102（选科：思想政治）,576,4018,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,思想政治,1,576,4018,816,93501,4018
zyfz:2025:93520:d645e182dad2936d,四川,2025,历史类,本科提前批A段,武警警官学院,专业组101（选科：不限）,605,3772,3,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,3,611,2912,815,93520,3772
zyfz:2025:93491:5a2622e37b66230d,四川,2025,历史类,本科提前批A段,中南财经政法大学,专业组101（选科：思想政治）,588,7098,6,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,6,595,5545,788,93491,7098
zyfz:2024:93491:ff143e677c8e96e1,四川,2024,历史类,本科提前批A段,中南财经政法大学,专业组101（选科：思想政治）,561,7375,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,1,561,7375,790,93491,7375
zyfz:2023:93491:7f9b4e259f4796af,四川,2023,历史类,本科提前批A段,中南财经政法大学,专业组101（选科：思想政治）,569,5358,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,1,569,5358,804,93491,5358
zyfz:2025:93502:7eadf7cb16cbe983,四川,2025,历史类,本科提前批A段,中国人民警察大学,专业组101（选科：思想政治）,538,25709,3,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,3,585,7828,723,93502,25709
zyfz:2025:93511:725262be47b1bb44,四川,2025,历史类,本科提前批A段,海南科技职业大学,专业组101（选科：不限）,485,58131,12,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,12,498,49287,667,93511,58131
zyfz:2024:93511:4a2a43e6263f8b0c,四川,2024,历史类,本科提前批A段,海南科技职业大学,专业组101（选科：不限）,457,76813,7,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,7,469,66346,649,93511,76813
zyfz:2023:93511:8da529e505b4610d,四川,2023,历史类,本科提前批A段,海南科技职业大学,专业组101（选科：不限）,477,59492,5,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,5,485,52218,672,93511,59492
