source_id,province,year,subject_type,batch,school_name,major_name,score,rank,quota,source_file,group_code,subject_requirement,admitted_count,average_score,average_rank,equivalent_score,school_yxid,raw_rank
zyfz:2025:93547:7f3084ea7191a81f,四川,2025,历史类,本科提前批B段,山东大学,专业组111（选科：思想政治）,621,1740,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,111,思想政治,2,622,1629,843,93547,1740
zyfz:2025:93535:6c968e6d8ab5c9dc,四川,2025,历史类,本科提前批B段,东北师范大学,专业组109（选科：不限）,609,3190,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,109,不限,2,609,3190,821,93535,3190
zyfz:2025:93536:4ce107aceaab57d9,四川,2025,历史类,本科提前批B段,东北师范大学,专业组110（选科：不限）,620,1865,17,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,110,不限,17,623,1547,841,93536,1865
zyfz:2025:93537:701671e0620fff9f,四川,2025,历史类,本科提前批B段,东北师范大学,专业组111（选科：思想政治）,619,1966,4,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,111,思想政治,4,620,1865,839,93537,1966
zyfz:2025:93534:8c135ccfd56b8ff5,四川,2025,历史类,本科提前批B段,吉林大学,专业组101（选科：思想政治）,620,1865,1,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,思想政治,1,620,1865,841,93534,1865
zyfz:2025:93581:07a257727be1e67e,四川,2025,历史类,本科提前批B段,香港中文大学（深圳）,专业组201（选科：不限）,620,1865,20,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,201,不限,21,628,1146,841,93581,1865
zyfz:2025:93556:5402cd4ce0071354,四川,2025,历史类,本科提前批B段,西南大学,专业组101（选科：不限）,617,2198,130,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,130,622,1629,835,93556,2198
zyfz:2025:93557:6ca7f45b462260be,四川,2025,历史类,本科提前批B段,西南大学,专业组102（选科：地理）,618,2074,19,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,102,地理,19,621,1740,837,93557,2074
zyfz:2025:93558:22f6fceea7079dc3,四川,2025,历史类,本科提前批B段,西南大学,专业组103（选科：思想政治）,619,1966,28,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,103,思想政治,28,623,1547,839,93558,1966
zyfz:2025:93559:60722ab67dcd3a9e,四川,2025,历史类,本科提前批B段,西南大学,专业组104（选科：不限）,610,3048,9,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,104,不限,9,611,2912,823,93559,3048
zyfz:2025:93560:1f8a2d973d82bde8,四川,2025,历史类,本科提前批B段,西南大学,专业组105（选科：思想政治）,613,2658,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,105,思想政治,2,614,2521,828,93560,2658
zyfz:2025:93544:1327d3c4c54aac65,四川,2025,历史类,本科提前批B段,上海外国语大学,专业组101（选科：不限）,615,2397,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,4,619,1966,832,93544,2397
zyfz:2025:93548:257644b529f7af06,四川,2025,历史类,本科提前批B段,中国海洋大学,专业组120（选科：不限）,609,3190,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,120,不限,2,610,3048,821,93548,3190
zyfz:2025:93529:e70fda56f377ea41,四川,2025,历史类,本科提前批B段,北京语言大学,专业组101（选科：不限）,599,4765,4,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,4,601,4408,805,93529,4765
zyfz:2025:93582:13ca450cd105412a,四川,2025,历史类,本科提前批B段,四川外国语大学,专业组101（选科：不限）,578,9693,23,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,23,583,8332,774,93582,9693
zyfz:2025:93583:652e964bbc3ef7ff,四川,2025,历史类,本科提前批B段,西安外国语大学,专业组101（选科：不限）,576,10296,6,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,101,不限,6,582,8603,772,93583,10296
zyfz:2025:93584:c064fd6c4beb4063,四川,2025,历史类,本科提前批B段,新疆师范大学,专业组107（选科：思想政治）,571,11819,2,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,107,思想政治,2,572,11496,765,93584,11819
zyfz:2025:93578:c1d1dd3e93a0b44c,四川,2025,历史类,本科提前批B段,黑龙江大学,专业组105（选科：不限）,555,17967,16,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,105,不限,16,566,13582,744,93578,17967
zyfz:2025:93579:1446fe77de93c499,四川,2025,历史类,本科提前批B段,黑龙江大学,专业组108（选科：不限）,570,12147,3,zyfz.sceeic.cn:/zyfz/chaxun/luqushuju/,108,不限,3,571,11819,764,93579,12147
